Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
20/03/2026 17:09,3-1277,Sale,,10083,Latte,,,2.000,7.60,0.00,7.60,0.00,7.60,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 17:09,3-1277,Sale,,10166,Ginger beer,,,1.000,3.00,0.00,3.00,3.00,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 17:09,3-1277,Sale,Snacks,10205,Turnover bacon and cheese,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 15:03,3-1276,Sale,,10037,Flat white,,,1.000,3.50,0.00,3.50,3.50,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 14:33,3-1275,Sale,,10206,Toasties,,,1.000,6.50,0.00,6.50,0.00,6.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 14:15,3-1274,Sale,,10086,Brownie,,,2.000,8.00,0.00,8.00,0.00,8.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 13:22,3-1273,Sale,,10206,Toasties,,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 13:22,3-1273,Sale,,10010,Sausage bap,,,1.000,6.00,0.00,6.00,0.00,6.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 13:22,3-1273,Sale,,10159,Build a milkshake,,,1.000,3.50,0.00,3.50,0.00,3.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 13:22,3-1273,Sale,,10153,Iced latte,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 12:19,3-1272,Sale,,10035,Sandwich,,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 12:19,3-1272,Sale,,10038,Tea,,,1.000,3.00,0.00,3.00,3.00,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
20/03/2026 12:13,3-1271,Sale,Drinks fridge,10022,Pepsi max,,,1.000,1.50,0.00,1.50,0.00,1.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
