Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
Tray bake,10062,No category,5.000,17.50,0.000,0.00,0.00,17.50,0.00,17.50,100.00%,0.00
Trip,10127,Drinks fridge,5.000,16.00,0.000,0.00,0.00,16.00,0.00,16.00,100.00%,0.00
Trip,10128,Drinks fridge,28.000,61.60,0.000,0.00,0.00,61.60,9.24,52.36,85.00%,0.00
Trip,10131,Drinks fridge,21.000,52.90,0.000,0.00,0.00,52.90,0.00,52.90,100.00%,0.00
Truffle Nuts,10113,Retail food,3.000,17.85,0.000,0.00,0.00,17.85,0.00,17.85,100.00%,0.00
Turkey club tropicana,10044,No category,11.000,106.45,0.000,0.00,0.00,106.45,0.00,106.45,100.00%,0.00
Turnover bacon and cheese,10205,Snacks,10.000,40.00,0.000,0.00,0.00,40.00,4.80,35.20,88.00%,0.00
Turnover cheese and onion,10204,Snacks,2.000,8.00,0.000,0.00,0.00,8.00,0.00,8.00,100.00%,0.00
Twix tray bake,10039,No category,1.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Vanilla One - Rooibos and Vanilla Tea - 1 person,10260,Hot Drinks - Tea,1.000,3.00,0.000,0.00,0.00,3.00,0.45,2.55,85.00%,0.00
Walnut cake,10081,No category,5.000,17.75,0.000,0.00,0.00,17.75,0.00,17.75,100.00%,0.00
Water - sparkling,10063,Drinks fridge,28.000,37.70,0.000,0.00,0.00,37.70,31.50,6.20,16.45%,0.00
Water - still,10024,Drinks fridge,52.000,71.50,0.000,0.00,0.00,71.50,70.50,1.00,1.40%,0.00
Wild garlic salami,10017,Retail food,2.000,15.00,0.000,0.00,0.00,15.00,7.00,8.00,53.33%,0.00
